Date,Favorite,Spread,Underdog,Total,Away Money Line,Home Money Line,Year,Week
"December 13, 2015 1:00 PM",at Bears,-4.0,Redskins,43.5,N/A,N/A,2015,14
"December 13, 2015 1:00 PM",at Bengals,-1.0,Steelers,49.0,N/A,N/A,2015,14
"December 13, 2015 1:00 PM",at Browns,-2.5,49ers,43.0,N/A,N/A,2015,14
"December 13, 2015 1:00 PM",at Jaguars,-1.0,Colts,46.0,N/A,N/A,2015,14
"December 13, 2015 1:00 PM",at Chiefs,-11.5,Chargers,42.0,N/A,N/A,2015,14
"December 13, 2015 1:00 PM",Lions,-3.0,at Rams,41.5,N/A,N/A,2015,14
"December 13, 2015 1:00 PM",at Jets,-8.0,Titans,43.0,N/A,N/A,2015,14
"December 13, 2015 1:00 PM",at Eagles,-1.0,Bills,48.0,N/A,N/A,2015,14
"December 13, 2015 1:00 PM",at Buccaneers,-6.0,Saints,52.0,N/A,N/A,2015,14
"December 13, 2015 4:05 PM",at Broncos,-6.0,Raiders,43.0,N/A,N/A,2015,14
"December 13, 2015 4:25 PM",at Packers,-6.0,Cowboys,42.5,N/A,N/A,2015,14
"December 13, 2015 8:30 PM",Patriots,-4.5,at Texans,46.5,N/A,N/A,2015,14
"December 14, 2015 8:30 PM",Giants,-2.0,at Dolphins,47.5,N/A,N/A,2015,14
"December 17, 2015 8:25 PM",at Rams,-1.0,Buccaneers,41.5,N/A,N/A,2015,15
"December 19, 2015 8:25 PM",Jets,-3.0,at Cowboys,41.0,N/A,N/A,2015,15
"December 20, 2015 1:00 PM",at Colts,-1.5,Texans,42.0,N/A,N/A,2015,15
"December 20, 2015 1:00 PM",at Jaguars,-2.0,Falcons,48.0,N/A,N/A,2015,15
"December 20, 2015 1:00 PM",at Vikings,-4.0,Bears,44.0,N/A,N/A,2015,15
"December 20, 2015 1:00 PM",at Patriots,-14.5,Titans,48.0,N/A,N/A,2015,15
"December 20, 2015 1:00 PM",Panthers,-4.5,at Giants,46.5,N/A,N/A,2015,15
"December 20, 2015 1:00 PM",Chiefs,-6.5,at Ravens,41.0,N/A,N/A,2015,15
"December 20, 2015 1:00 PM",Bills,-2.0,at Redskins,45.5,N/A,N/A,2015,15
"December 20, 2015 4:05 PM",at Seahawks,-14.5,Browns,45.5,N/A,N/A,2015,15
"December 20, 2015 4:05 PM",Packers,-4.0,at Raiders,47.0,N/A,N/A,2015,15
"December 20, 2015 4:25 PM",at Steelers,-7.0,Broncos,45.5,N/A,N/A,2015,15
"December 20, 2015 4:25 PM",Bengals,-7.0,at 49ers,40.5,N/A,N/A,2015,15
"December 20, 2015 4:25 PM",at Chargers,-1.0,Dolphins,46.5,N/A,N/A,2015,15
"December 20, 2015 8:30 PM",Cardinals,-3.5,at Eagles,51.0,N/A,N/A,2015,15
"December 21, 2015 8:30 PM",at Saints,-2.5,Lions,52.0,N/A,N/A,2015,15
"December 24, 2015 8:25 PM",at Raiders,-4.0,Chargers,45.0,N/A,N/A,2015,16
"December 26, 2015 8:25 PM",at Eagles,-3.0,Redskins,48.5,N/A,N/A,2015,16
"December 27, 2015 1:00 PM",at Buccaneers,-3.0,Bears,44.0,N/A,N/A,2015,16
"December 27, 2015 1:00 PM",Texans,-3.5,at Titans,39.0,N/A,N/A,2015,16
"December 27, 2015 1:00 PM",Patriots,-2.5,at Jets,46.0,N/A,N/A,2015,16
"December 27, 2015 1:00 PM",Panthers,-7.0,at Falcons,46.0,N/A,N/A,2015,16
"December 27, 2015 1:00 PM",Steelers,-11.0,at Ravens,47.5,N/A,N/A,2015,16
"December 27, 2015 1:00 PM",at Bills,-6.5,Cowboys,42.0,N/A,N/A,2015,16
"December 27, 2015 1:00 PM",at Lions,-9.0,49ers,43.0,N/A,N/A,2015,16
"December 27, 2015 1:00 PM",at Chiefs,-11.5,Browns,42.5,N/A,N/A,2015,16
"December 27, 2015 1:00 PM",at Dolphins,-2.5,Colts,44.0,N/A,N/A,2015,16
"December 27, 2015 4:05 PM",at Saints,-2.5,Jaguars,53.5,N/A,N/A,2015,16
"December 27, 2015 4:25 PM",at Cardinals,-6.0,Packers,50.0,N/A,N/A,2015,16
"December 27, 2015 4:25 PM",at Seahawks,-11.5,Rams,41.5,N/A,N/A,2015,16
"December 27, 2015 8:30 PM",at Vikings,-7.0,Giants,45.0,N/A,N/A,2015,16
"December 28, 2015 8:30 PM",at Broncos,-4.5,Bengals,39.5,N/A,N/A,2015,16
"January 3, 2016 1:00 PM",Lions,-2.5,at Bears,45.0,N/A,N/A,2015,17
"January 3, 2016 1:00 PM",at Bengals,-10.0,Ravens,40.5,N/A,N/A,2015,17
"January 3, 2016 1:00 PM",Steelers,-13.0,at Browns,47.0,N/A,N/A,2015,17
"January 3, 2016 1:00 PM",at Cowboys,-3.0,Redskins,41.0,N/A,N/A,2015,17
"January 3, 2016 1:00 PM",at Falcons,-6.0,Saints,53.5,N/A,N/A,2015,17
